Modelo,ROC_AUC,Average_Precision,Precision_Classe_1,Recall_Classe_1,F1_Classe_1,Acuracia,Tempo_Treinamento_Segundos
LightGBM,0.7778488223322214,0.2767886552436175,0.18898912792042563,0.6582074521651561,0.2936604214404457,0.7443864526933646,35.9
XGBoost,0.7775703777658723,0.2761273403506738,0.18643490115882755,0.6610271903323263,0.29084141964641763,0.7397687917662553,40.19
Random Forest,0.7470255993019443,0.22927758997479775,0.20011283043197936,0.5001007049345418,0.28584585276002994,0.7982700030892802,170.0
Regressão Logística,0.6694451702794727,0.1476609027877093,0.12624425344793125,0.6360523665659618,0.21067378252168112,0.6152382810594605,4433.44
Dummy,0.5,0.08072776937710356,0.0,0.0,0.0,0.9192722306228964,0.03
